matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,19/set/2020,9,Verona,7,Roma,3:0,in panchina,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
2,27/set/2020,19,Roma,5,Juventus,2:2,Available,0,0,0,False,False,False,,,90,False,True,6.0,6.0,0,0,True,False,3,False
3,03/ott/2020,17,Udinese,15,Roma,0:1,Available,0,0,0,False,False,False,,90,90,False,False,5.0,5.0,0,0,True,False,2,False
4,18/ott/2020,10,Roma,8,Benevento,5:2,Available,2,0,0,False,False,False,,84,84,False,True,13.5,7.5,0,0,True,False,2,True
5,26/ott/2020,1,Milan,8,Roma,3:3,Available,1,0,0,False,False,False,,,90,False,False,9.5,6.5,0,0,True,False,4,True
6,01/nov/2020,9,Roma,10,Fiorentina,2:0,Available,0,0,0,True,False,False,,,90,False,True,6.5,7.0,0,0,True,False,2,False
7,08/nov/2020,16,Genoa,8,Roma,1:3,Coronavirus,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,2,False
8,22/nov/2020,4,Roma,15,Parma,3:0,Coronavirus,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
9,29/nov/2020,5,Napoli,3,Roma,4:0,Available,0,0,0,False,False,False,,71,71,False,False,4.5,4.5,0,0,True,False,3,False
10,06/dic/2020,6,Roma,4,Sassuolo,0:0,Available,0,0,0,False,False,False,,85,85,False,True,6.0,6.0,0,0,True,False,2,True
11,13/dic/2020,10,Bologna,6,Roma,1:5,Available,1,0,0,False,False,False,,81,81,False,False,10.0,7.0,0,0,True,False,2,True
12,17/dic/2020,6,Roma,18,Torino,3:1,Available,0,1,0,False,False,False,,59,59,False,True,6.0,6.0,0,0,True,False,1,True
13,20/dic/2020,7,Atalanta,5,Roma,4:1,Available,1,0,0,False,False,False,,,90,False,False,9.0,6.0,0,0,True,False,3,True
14,23/dic/2020,5,Roma,13,Cagliari,3:2,Available,1,0,0,False,False,False,,78,78,False,True,9.0,6.0,0,0,True,False,1,True
15,03/gen/2021,4,Roma,11,Sampdoria,1:0,Available,1,0,0,False,False,False,,87,87,False,True,10.0,7.0,0,0,True,False,2,True
16,06/gen/2021,20,Crotone,4,Roma,1:3,Available,0,0,0,False,False,False,85,,5,False,False,,,0,0,False,False,2,False
17,10/gen/2021,4,Roma,2,Inter,2:2,Available,0,0,0,False,False,False,,88,88,False,True,5.5,5.5,0,0,True,False,3,False
18,15/gen/2021,8,Lazio,4,Roma,3:0,Available,0,0,0,False,False,False,,,90,False,False,5.0,5.0,0,0,True,False,3,False
19,23/gen/2021,5,Roma,13,Spezia,4:3,Contusione,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,2,False
20,31/gen/2021,4,Roma,8,Verona,3:1,non convocato,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,2,False
21,06/feb/2021,3,Juventus,4,Roma,2:0,Available,0,0,0,False,False,False,63,,27,False,False,5.5,5.5,0,0,False,False,4,False
22,14/feb/2021,4,Roma,11,Udinese,3:0,Available,0,0,0,False,False,False,68,,22,False,True,6.5,6.5,0,0,False,False,2,True
23,21/feb/2021,15,Benevento,4,Roma,0:0,Available,0,0,0,False,False,False,58,,32,False,False,5.5,5.5,0,0,False,False,2,False
24,28/feb/2021,4,Roma,2,Milan,1:2,Problema agli adduttori,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
25,03/mar/2021,15,Fiorentina,5,Roma,1:2,Problema agli adduttori,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,2,False
26,07/mar/2021,5,Roma,13,Genoa,1:0,Problema agli adduttori,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
27,14/mar/2021,19,Parma,4,Roma,2:0,Available,0,0,0,True,False,False,,,90,False,False,4.5,5.0,0,0,True,False,2,False
28,21/mar/2021,6,Roma,5,Napoli,0:2,Available,0,0,0,False,False,False,,67,67,False,True,5.0,5.0,0,0,True,False,3,False
29,03/apr/2021,8,Sassuolo,6,Roma,2:2,Available,0,0,0,False,False,False,83,,7,False,False,,,0,0,False,False,3,False
30,11/apr/2021,7,Roma,11,Bologna,1:0,in panchina,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,2,False
