matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,20/set/2020,19,Parma,2,Napoli,0:2,Available,1,0,0,False,False,False,,,90,True,False,10.0,6.5,0,0,True,False,2,True
2,27/set/2020,7,Napoli,3,Genoa,6:0,Available,0,0,0,False,False,False,,23,23,True,True,6.0,,0,0,True,False,1,True
3,07/apr/2021,6,Juventus,1,Napoli,2:1,Available,1,0,0,False,False,False,,,90,True,False,6.0,,0,0,False,True,4,False
4,17/ott/2020,6,Napoli,1,Atalanta,4:1,Infortunio al bicipite femorale,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
5,25/ott/2020,10,Benevento,3,Napoli,1:2,Available,1,0,0,False,False,False,,88,88,True,False,10.0,6.5,0,0,True,False,2,True
6,01/nov/2020,2,Napoli,3,Sassuolo,0:2,Infortunio alla coscia,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,2,False
7,08/nov/2020,13,Bologna,3,Napoli,0:1,Available,0,0,0,False,False,False,,83,83,True,False,6.0,6.0,0,0,True,False,2,True
8,22/nov/2020,2,Napoli,1,Milan,1:3,Available,0,0,0,False,False,False,,,90,True,True,5.5,5.5,0,0,True,False,3,False
9,29/nov/2020,5,Napoli,3,Roma,4:0,Available,1,1,0,False,False,False,,,90,True,True,12.0,7.5,0,0,True,False,3,True
10,06/dic/2020,20,Crotone,2,Napoli,0:4,Available,1,1,0,False,False,False,,78,78,True,False,12.0,7.5,0,0,True,False,2,True
11,13/dic/2020,2,Napoli,12,Sampdoria,2:1,Available,0,0,0,True,False,False,,,90,True,True,5.5,6.0,0,0,True,False,2,True
12,16/dic/2020,3,Inter,2,Napoli,1:0,Available,0,0,0,False,False,True,,,71,True,False,4.0,5.0,0,0,True,False,4,False
13,20/dic/2020,9,Lazio,3,Napoli,2:0,Squalifica per espulsione diretta,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
14,23/dic/2020,4,Napoli,18,Torino,1:1,Available,1,0,0,False,False,False,,,90,True,True,10.0,6.5,0,0,True,False,1,True
15,03/gen/2021,15,Cagliari,6,Napoli,1:4,Available,1,0,0,False,False,False,,,90,True,False,10.5,7.0,1,1,True,False,2,True
16,06/gen/2021,5,Napoli,18,Spezia,1:2,Available,0,0,0,False,False,False,,,90,True,True,5.0,5.0,0,0,True,False,2,False
17,10/gen/2021,13,Udinese,7,Napoli,1:2,Available,1,0,0,False,False,False,,,90,True,False,9.5,6.0,1,1,True,False,2,True
18,17/gen/2021,6,Napoli,12,Fiorentina,6:0,Available,2,1,0,True,False,False,,79,79,True,True,15.5,8.0,1,1,True,False,2,True
19,24/gen/2021,9,Verona,4,Napoli,3:1,Available,0,0,0,False,False,False,,60,60,True,False,4.5,4.5,0,0,True,False,3,False
20,31/gen/2021,6,Napoli,19,Parma,2:0,Available,0,0,0,False,False,False,,,90,True,True,6.0,6.0,0,0,True,False,1,True
21,06/feb/2021,14,Genoa,5,Napoli,2:1,Available,0,0,0,False,False,False,54,,36,True,False,5.5,5.5,0,0,False,False,2,True
22,13/feb/2021,6,Napoli,3,Juventus,1:0,Available,1,0,0,False,False,False,,88,88,True,True,10.5,7.0,1,1,True,False,3,True
23,21/feb/2021,6,Atalanta,5,Napoli,4:2,Available,0,0,0,False,False,False,53,,37,True,False,5.5,5.5,0,0,False,False,3,True
24,28/feb/2021,7,Napoli,15,Benevento,2:0,Available,0,0,0,False,False,False,,,90,True,True,6.0,6.0,0,0,True,False,2,True
25,03/mar/2021,9,Sassuolo,6,Napoli,3:3,Available,1,1,0,False,False,False,,,90,True,False,11.0,6.5,1,1,True,False,3,True
26,07/mar/2021,6,Napoli,12,Bologna,3:1,Available,2,0,0,False,False,False,,79,79,True,True,14.5,7.5,0,0,True,False,2,True
27,14/mar/2021,2,Milan,6,Napoli,0:1,Available,0,0,0,False,False,False,,,90,True,False,6.5,6.5,0,0,True,False,4,True
28,21/mar/2021,6,Roma,5,Napoli,0:2,Available,0,0,0,False,False,False,,86,86,True,False,7.0,7.0,0,0,True,False,3,True
29,03/apr/2021,5,Napoli,20,Crotone,4:3,Available,1,1,0,False,False,False,,,90,True,True,11.5,7.0,0,0,True,False,1,True
30,11/apr/2021,10,Sampdoria,5,Napoli,0:2,Available,0,0,0,False,False,False,,90,90,True,False,6.0,6.0,0,0,True,False,3,True
