matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,20/set/2020,8,Sassuolo,18,Cagliari,1:1,Available,0,1,0,False,False,False,,88,88,True,False,7.5,6.5,0,0,True,False,4,True
2,26/set/2020,10,Cagliari,18,Lazio,0:2,Available,0,0,0,False,False,False,,,90,True,True,5.5,5.5,0,0,True,False,4,False
3,04/ott/2020,2,Atalanta,14,Cagliari,5:2,Available,1,0,0,False,False,False,,86,86,True,False,9.5,6.0,0,0,True,False,5,True
4,18/ott/2020,13,Torino,18,Cagliari,2:3,Available,1,0,0,False,False,False,,85,85,True,False,10.0,6.5,0,0,True,False,3,True
5,25/ott/2020,12,Cagliari,20,Crotone,4:2,Available,1,1,0,False,False,False,,,90,True,True,12.0,7.5,0,0,True,False,3,True
6,31/ott/2020,18,Bologna,11,Cagliari,3:2,Available,1,0,0,True,False,False,,,90,True,False,10.0,7.0,0,0,True,False,4,True
7,07/nov/2020,12,Cagliari,9,Sampdoria,2:0,Available,1,0,0,False,False,False,,,90,True,True,10.0,6.5,1,1,True,False,4,True
8,21/nov/2020,5,Juventus,11,Cagliari,2:0,Available,0,0,0,False,False,False,,,90,True,False,5.5,5.5,0,0,True,False,5,False
9,29/nov/2020,11,Cagliari,13,Spezia,2:2,Available,1,0,0,False,False,False,,,90,True,True,10.5,7.0,0,0,True,False,3,True
10,06/dic/2020,7,Verona,12,Cagliari,1:1,Available,0,0,0,False,False,False,,,90,True,False,7.0,7.0,0,0,True,False,4,True
11,13/dic/2020,11,Cagliari,3,Inter,1:3,Available,0,0,0,False,False,False,,,90,True,True,5.0,5.0,0,0,True,False,5,False
12,16/dic/2020,14,Parma,11,Cagliari,0:0,Available,0,0,0,False,False,False,,,90,True,False,5.5,5.5,0,0,True,False,3,False
13,20/dic/2020,12,Cagliari,10,Udinese,1:1,Available,0,0,0,False,False,False,,88,88,True,True,5.0,5.0,0,0,True,False,3,False
14,23/dic/2020,5,Roma,13,Cagliari,3:2,Available,2,0,0,False,False,False,,,90,True,False,14.5,7.5,1,1,True,False,5,True
15,03/gen/2021,15,Cagliari,6,Napoli,1:4,Available,1,0,0,False,False,False,,83,83,True,True,10.0,6.5,0,0,True,False,4,True
16,06/gen/2021,15,Cagliari,10,Benevento,1:2,Available,1,0,0,False,False,False,,,90,True,True,9.5,6.0,0,0,True,False,3,True
17,10/gen/2021,14,Fiorentina,15,Cagliari,1:0,Available,0,0,0,False,False,False,,,90,True,False,2.0,5.0,0,1,True,False,4,False
18,18/gen/2021,16,Cagliari,1,Milan,0:2,Available,0,0,0,False,False,False,,,90,True,True,6.0,6.0,0,0,True,False,5,False
19,24/gen/2021,16,Genoa,17,Cagliari,1:0,Available,0,0,0,False,False,False,,,90,True,False,6.5,6.5,0,0,True,False,3,False
20,31/gen/2021,18,Cagliari,9,Sassuolo,1:1,Available,1,0,0,False,False,False,,,90,True,True,10.5,7.0,0,0,True,False,4,True
21,07/feb/2021,6,Lazio,18,Cagliari,1:0,Available,0,0,0,True,False,False,,,90,True,False,5.0,5.5,0,0,True,False,5,False
22,14/feb/2021,18,Cagliari,7,Atalanta,0:1,Available,0,0,0,False,False,False,,,90,True,True,5.0,5.0,0,0,True,False,4,False
23,19/feb/2021,18,Cagliari,17,Torino,0:1,Available,0,0,0,False,False,False,,,90,True,True,5.5,5.5,0,0,True,False,3,False
24,28/feb/2021,20,Crotone,18,Cagliari,0:2,Available,1,0,0,False,False,False,,77,77,True,False,10.0,6.5,1,1,True,False,3,True
25,03/mar/2021,18,Cagliari,11,Bologna,1:0,Available,0,0,0,False,False,False,,81,81,True,True,5.5,5.5,0,0,True,False,3,False
26,07/mar/2021,10,Sampdoria,18,Cagliari,2:2,Available,1,0,0,False,False,False,,75,75,True,False,10.0,6.5,0,0,True,False,4,True
27,14/mar/2021,18,Cagliari,3,Juventus,1:3,Available,0,0,0,False,False,False,,,90,True,True,5.0,5.0,0,0,True,False,5,False
28,20/mar/2021,15,Spezia,18,Cagliari,2:1,Available,0,0,0,True,False,False,,,90,True,False,6.0,6.5,0,0,True,False,4,False
29,03/apr/2021,18,Cagliari,9,Verona,0:2,Available,0,0,0,False,False,False,,,90,True,True,5.5,5.5,0,0,True,False,4,False
30,11/apr/2021,1,Inter,18,Cagliari,1:0,Available,0,0,0,False,False,False,,,90,True,False,5.5,5.5,0,0,True,False,5,False
