matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,30/set/2020,18,Benevento,1,Inter,2:5,Available,1,0,0,False,False,False,65,,25,False,False,6.0,,0,0,False,True,2,True
2,26/set/2020,1,Inter,9,Fiorentina,4:3,Available,1,1,0,False,False,False,,,90,False,True,10.0,7.0,0,0,True,False,1,True
3,04/ott/2020,10,Lazio,3,Inter,1:1,Available,1,0,0,False,False,False,,79,79,False,False,10.0,7.0,0,0,True,False,3,True
4,17/ott/2020,4,Inter,2,Milan,1:2,Available,0,0,0,False,False,False,,,90,False,True,6.0,6.0,0,0,True,False,3,False
5,24/ott/2020,13,Genoa,6,Inter,0:2,Available,0,0,0,True,False,False,,72,72,False,False,4.5,5.0,0,0,True,False,1,False
6,31/ott/2020,4,Inter,16,Parma,2:2,Available,0,0,0,False,False,False,,,90,False,True,5.0,5.0,0,0,True,False,1,False
7,08/nov/2020,5,Atalanta,6,Inter,1:1,Available,1,0,0,True,False,False,,74,74,False,False,9.5,7.0,0,0,True,False,3,True
8,22/nov/2020,7,Inter,17,Torino,4:2,Available,1,0,0,False,False,False,65,,25,False,True,9.5,6.5,0,0,False,False,1,True
9,28/nov/2020,2,Sassuolo,6,Inter,0:3,Available,0,1,0,False,False,False,,79,79,False,False,8.5,7.5,0,0,True,False,2,True
10,05/dic/2020,3,Inter,10,Bologna,3:1,Available,0,0,0,False,False,False,71,,19,False,True,6.0,6.0,0,0,False,False,1,True
11,13/dic/2020,11,Cagliari,3,Inter,1:3,Available,0,1,0,False,False,False,72,,18,False,False,7.0,6.0,0,0,False,False,1,True
12,16/dic/2020,3,Inter,2,Napoli,1:0,Available,0,0,0,False,False,False,,77,77,False,True,5.5,5.5,0,0,True,False,2,True
13,20/dic/2020,2,Inter,16,Spezia,2:1,Available,0,1,0,False,False,False,,,90,False,True,7.5,6.5,0,0,True,False,1,True
14,23/dic/2020,9,Verona,2,Inter,1:2,Available,1,0,0,False,False,False,,87,87,False,False,10.0,7.0,0,0,True,False,2,True
15,03/gen/2021,2,Inter,19,Crotone,6:2,Available,3,0,0,False,False,False,,,90,False,True,17.5,8.5,0,0,True,False,1,True
16,06/gen/2021,11,Sampdoria,2,Inter,2:1,Available,0,0,0,True,False,False,,,90,False,False,5.5,6.0,0,0,True,False,2,True
17,10/gen/2021,4,Roma,2,Inter,2:2,Available,0,0,0,False,False,False,,77,77,False,False,7.0,7.0,0,0,True,False,3,True
18,17/gen/2021,2,Inter,3,Juventus,2:0,Available,0,0,0,False,False,False,,86,86,False,True,5.5,5.5,0,0,True,False,3,True
19,23/gen/2021,15,Udinese,2,Inter,0:0,Available,0,0,0,False,False,False,,70,70,False,False,5.0,5.0,0,0,True,False,2,False
20,30/gen/2021,2,Inter,11,Benevento,4:0,Available,1,1,0,False,False,False,,74,74,False,True,10.0,7.0,0,0,True,False,1,True
21,05/feb/2021,11,Fiorentina,2,Inter,0:2,Available,0,0,0,False,False,False,61,,29,False,False,6.0,6.0,0,0,False,False,2,True
22,14/feb/2021,2,Inter,5,Lazio,3:1,Available,1,1,0,False,False,False,,78,78,False,True,10.0,7.0,0,0,True,False,2,True
23,21/feb/2021,2,Milan,1,Inter,0:3,Available,2,0,0,False,False,False,,78,78,False,False,14.5,8.5,0,0,True,False,3,True
24,28/feb/2021,1,Inter,11,Genoa,3:0,Available,0,1,0,False,False,False,,76,76,False,True,7.0,7.0,0,0,True,False,1,True
25,04/mar/2021,19,Parma,1,Inter,1:2,Available,0,0,0,False,False,False,75,,15,False,False,6.0,6.0,0,0,False,False,1,True
26,08/mar/2021,1,Inter,4,Atalanta,1:0,Available,0,0,0,False,False,False,,77,77,False,True,5.5,5.5,0,0,True,False,2,True
27,14/mar/2021,17,Torino,1,Inter,1:2,Available,1,1,0,False,False,False,,89,89,False,False,10.5,7.5,0,0,True,False,1,True
28,07/apr/2021,1,Inter,8,Sassuolo,2:1,Available,1,0,0,False,False,False,,77,77,False,True,6.0,,0,0,False,True,2,True
29,03/apr/2021,11,Bologna,1,Inter,0:1,Available,0,0,0,False,False,False,,71,71,False,False,6.5,6.5,0,0,True,False,2,True
30,11/apr/2021,1,Inter,18,Cagliari,1:0,Available,0,0,0,False,False,False,70,,20,False,True,6.0,6.0,0,0,False,False,1,True
