matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,19/set/2020,16,Fiorentina,15,Torino,1:0,Available,0,0,0,False,False,False,79,,11,True,True,,,0,0,False,False,2,False
2,26/set/2020,1,Inter,9,Fiorentina,4:3,Available,0,0,0,False,False,False,61,,29,True,False,5.0,5.0,0,0,False,False,5,False
3,02/ott/2020,9,Fiorentina,18,Sampdoria,1:2,Available,1,0,0,False,False,False,,,90,True,True,9.5,6.5,0,0,True,False,3,True
4,18/ott/2020,16,Spezia,12,Fiorentina,2:2,Available,0,0,0,False,False,False,,72,72,True,False,5.0,5.0,0,0,True,False,3,False
5,25/ott/2020,11,Fiorentina,18,Udinese,3:2,Available,0,0,0,False,False,False,,66,66,True,True,5.0,5.0,0,0,True,False,3,False
6,01/nov/2020,9,Roma,10,Fiorentina,2:0,Available,0,0,0,False,False,False,57,,33,True,False,5.5,5.5,0,0,False,False,4,False
7,07/nov/2020,15,Parma,11,Fiorentina,0:0,in panchina,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
8,22/nov/2020,12,Fiorentina,16,Benevento,0:1,Available,0,0,0,False,False,False,,,90,True,True,5.0,5.0,0,0,True,False,3,False
9,29/nov/2020,1,Milan,15,Fiorentina,2:0,Available,0,0,0,False,False,False,,77,77,True,False,6.0,6.0,0,0,True,False,5,False
10,07/dic/2020,17,Fiorentina,19,Genoa,1:1,Available,0,0,0,False,False,False,,78,78,True,True,6.0,6.0,0,0,True,False,2,False
11,13/dic/2020,9,Atalanta,17,Fiorentina,3:0,Available,0,0,0,False,False,False,,71,71,True,False,5.5,5.5,0,0,True,False,4,False
12,16/dic/2020,17,Fiorentina,5,Sassuolo,1:1,Available,1,0,0,False,False,False,,73,73,True,True,9.5,6.5,1,1,True,False,3,True
13,19/dic/2020,17,Fiorentina,8,Verona,1:1,Available,1,0,0,False,False,False,,,90,True,True,9.5,6.5,1,1,True,False,3,True
14,22/dic/2020,3,Juventus,16,Fiorentina,0:3,Available,1,0,0,False,False,False,,75,75,True,False,10.5,7.5,0,0,True,False,5,True
15,03/gen/2021,14,Fiorentina,13,Bologna,0:0,Available,0,0,0,False,False,False,,72,72,True,True,5.0,5.0,0,0,True,False,3,False
16,06/gen/2021,9,Lazio,14,Fiorentina,2:1,Available,1,0,0,False,False,False,,,90,True,False,9.5,6.5,1,1,True,False,4,True
17,10/gen/2021,14,Fiorentina,15,Cagliari,1:0,Available,1,0,0,False,False,False,,82,82,True,True,10.0,7.0,0,0,True,False,2,True
18,17/gen/2021,6,Napoli,12,Fiorentina,6:0,Available,0,0,0,False,False,False,,,90,True,False,5.5,5.5,0,0,True,False,4,False
19,23/gen/2021,14,Fiorentina,20,Crotone,2:1,Available,1,0,0,False,False,False,,69,69,True,True,9.5,6.5,0,0,True,False,2,True
20,29/gen/2021,17,Torino,12,Fiorentina,1:1,Available,0,0,0,False,False,False,,84,84,True,False,5.0,5.0,0,0,True,False,3,False
21,05/feb/2021,11,Fiorentina,2,Inter,0:2,Available,0,0,0,False,False,False,,73,73,True,True,4.5,4.5,0,0,True,False,4,False
22,14/feb/2021,10,Sampdoria,15,Fiorentina,2:1,Available,1,0,0,False,False,False,,,90,True,False,9.0,6.0,0,0,True,False,4,True
23,19/feb/2021,16,Fiorentina,13,Spezia,3:0,Available,1,1,0,False,False,False,,,90,True,True,11.5,7.5,0,0,True,False,3,True
24,28/feb/2021,13,Udinese,14,Fiorentina,1:0,Available,0,0,0,False,False,False,,,90,True,False,5.5,5.5,0,0,True,False,3,False
25,03/mar/2021,15,Fiorentina,5,Roma,1:2,Available,0,0,0,False,False,False,,,90,True,True,6.5,6.5,0,0,True,False,4,True
26,07/mar/2021,14,Fiorentina,19,Parma,3:3,Available,0,0,0,False,False,False,,,90,True,True,5.5,5.5,0,0,True,False,2,False
27,13/mar/2021,16,Benevento,14,Fiorentina,1:4,Available,3,0,0,False,False,False,,78,78,True,False,17.0,8.0,0,0,True,False,3,True
28,21/mar/2021,13,Fiorentina,3,Milan,2:3,Available,0,1,0,False,False,False,,,90,True,True,7.0,6.0,0,0,True,False,4,True
29,03/apr/2021,13,Genoa,14,Fiorentina,1:1,Available,1,0,0,False,False,False,,89,89,True,False,9.5,6.5,0,0,True,False,3,True
30,11/apr/2021,14,Fiorentina,4,Atalanta,2:3,Available,2,0,0,False,False,False,,,90,True,True,13.5,7.5,0,0,True,False,4,True
